samps,exp,subtype,cells,RNaseI,date,sex
JF124_S1,RP,CPN,20800,12.5U,8/8/21,F
JF125_S2,RP,CPN,9100,12.5U,8/8/21,F
JF126_S3,RP,CPN,2500,12.5U,8/8/21,F
JF127_S4,RP,CPN,4300,12.5U,8/8/21,M
JF128_S5,RP,CPN,9900,12.5U,8/8/21,M
JF129_S6,AF,CPN,6200,AF,8/8/21,F
JF130_S7,AF,CPN,3000,AF,8/8/21,F
JF131_S8,AF,CPN,800,AF,8/8/21,F
JF132_S9,AF,CPN,1400,AF,8/8/21,M
JF133_S10,AF,CPN,4200,AF,8/8/21,M
JF39_S4,RP,CPN,50001,12.5U,1/26/20,mixed
JF43_S8,RP,CPN,50000,2.5U,1/26/20,mixed
JF45_S10,RP,CPN,17000,12.5U,1/26/20,mixed
